"County","Sector","2018","2017","2016","2015","2014","2013","2012","2011","2010","2009","2008","2007","2006","2005","2004","2003","2002","2001","Total Usage"
"HUMBOLDT","Residential","     375.590592","     396.102388","     399.105809","     389.990132","     395.855367","     441.881333","     465.706650","     476.201780","     478.969039","     462.076678","     440.395754","     416.974615","     381.075575","     359.185691","     338.045831","     315.470915","     308.796388","     296.899316","    7138.323853"
"IMPERIAL","Non-Residential","     835.444287","     826.383978","     875.730223","     867.980839","     895.608096","     911.037447","     923.602615","     915.178627","     894.055068","     911.697465","     961.390437","     877.944674","     908.911968","     936.079951","     948.499717","     912.407396","     810.708848","     869.704148","   16082.365784"
"IMPERIAL","Residential","     600.799270","     594.905845","     543.159545","     536.315921","     539.648944","     534.947372","     544.227415","     518.542842","     501.861949","     517.554190","     503.984111","     522.237482","     527.505515","     486.254405","     478.134462","     476.988502","     445.549367","     464.963421","    9337.580558"
"INYO","Non-Residential","     151.562111","     147.173745","     149.101938","     151.868589","     154.011619","     172.953321","     179.548967","     179.868547","     172.217537","     173.246077","     156.131532","     159.444220","     166.323902","     165.698621","     175.859962","     165.568867","     174.036727","     172.518465","    2967.134747"
"INYO","Residential","      58.858333","      59.430249","      58.384961","      57.523885","      61.033607","      60.354511","      60.963913","      57.765555","      57.759072","      58.394708","      54.909089","      56.812374","      52.930928","      56.404796","      57.033355","      49.450452","      49.335328","      48.278468","    1015.623584"
"KERN","Non-Residential","   13429.494799","   16096.378425","   14265.094960","   12901.915866","   11988.602914","   12748.151088","   14399.355932","   13811.587241","   12859.665860","   12271.541376","   13303.384299","   15151.845369","   14398.341150","   12974.298013","   14662.094923","   13091.062450","   12603.753622","   11066.911919","  242023.480206"
"KERN","Residential","    2377.081701","    2347.906853","    2264.619505","    2267.943879","    2306.080250","    2275.302343","    2275.997190","    2141.569372","    2095.804173","    2171.622819","    2146.901568","    2091.414749","    2052.653093","    1972.924944","    1865.689174","    1832.112153","    1677.638100","    1635.046327","   37798.308193"
"KINGS","Non-Residential","    1382.071857","    1139.030160","    1426.210327","    1407.977955","    1440.624966","    1414.018348","    1311.780468","    1069.363718","    1104.854984","    1221.357340","    1137.444539","    1076.674865","    1031.794557","     984.742764","    1008.936974","     763.557326","     688.776033","     640.814277","   20250.031458"
"KINGS","Residential","     378.594421","     380.089064","     365.334662","     368.152945","     376.954514","     371.396890","     368.914891","     354.431955","     348.665297","     364.923953","     358.906996","     346.838550","     355.592547","     330.224385","     326.284498","     313.904631","     291.769429","     283.642892","    6284.622520"
"LAKE","Non-Residential","     159.869561","     169.044340","     158.761639","     154.671796","     155.889511","     167.398119","     163.889304","     161.169835","     159.379856","     163.180679","     170.782145","     169.708926","     384.035252","     365.083572","     286.985726","     291.990010","     217.751838","     209.266120","    3708.858229"
