"County","Sector","2018","2017","2016","2015","2014","2013","2012","2011","2010","2009","2008","2007","2006","2005","2004","2003","2002","2001","Total Usage"
"SONOMA","Residential","    1268.150203","    1328.431524","    1302.969060","    1283.718184","    1289.047708","    1348.836569","    1356.414221","    1360.012116","    1346.591094","    1321.053828","    1303.884735","    1272.987877","    1299.980710","    1230.393491","    1226.250921","    1187.534122","    1152.753528","    1117.037568","   22996.047459"
"STANISLAUS","Non-Residential","    2174.665862","    2738.802376","    3038.699942","    3054.096946","    3030.054766","    2980.212036","    2961.092141","    2807.042744","    2785.109466","    2848.134327","    2969.045687","    2982.655190","    3030.003968","    2976.084023","    2879.119127","    2889.661190","    2853.880348","    2704.937058","   51703.297197"
"STANISLAUS","Residential","    1759.244566","    1853.579273","    1725.488195","    1708.654083","    1723.309509","    1698.575804","    1697.286996","    1666.999718","    1636.082413","    1718.663578","    1709.769175","    1677.031351","    1731.642330","    1651.921230","    1619.001674","    1609.958342","    1504.597521","    1429.164212","   30120.969970"
"SUTTER","Non-Residential","     354.214805","     355.460297","     357.421670","     373.365094","     371.970143","     372.228914","     356.144625","     341.377155","     334.134910","     348.540851","     351.158520","     347.114722","     351.240626","     309.947873","     310.326000","     296.337366","     310.088827","     302.551386","    6143.623784"
"SUTTER","Residential","     280.443105","     291.868371","     274.543176","     274.445158","     277.424902","     275.424375","     279.445385","     271.619489","     265.740867","     276.956473","     277.358295","     273.806875","     275.787567","     259.039640","     253.953909","     245.326165","     228.459695","     218.281907","    4799.925354"
"TEHAMA","Non-Residential","     272.464580","     279.016758","     266.730848","     276.219257","     260.813522","     268.715251","     266.005743","     259.285709","     252.698580","     264.083205","     275.108219","     278.107657","     249.373549","     238.255228","     246.674394","     242.359267","     205.578677","     302.241154","    4703.731598"
"TEHAMA","Residential","     233.841181","     240.327143","     229.926634","     229.651559","     231.062458","     237.287413","     238.703201","     233.762771","     233.175209","     237.856355","     233.977987","     230.410313","     227.426935","     214.093879","     216.066670","     202.320126","     198.326011","     189.921097","    4058.136942"
"TRINITY","Non-Residential","     120.366397","     125.816034","     117.730556","     101.051829","     107.412887","     108.320334","     100.586127","     109.583381","      77.454181","      83.031267","       2.423341","       1.991885","      62.783185","      63.824159","       6.957762","      15.714568","      15.087174","       2.208223","    1222.343290"
"TRINITY","Residential","      10.331014","      11.632714","      10.999486","      10.261935","      10.421299","      11.208753","      11.473353","      11.598747","      11.276366","      10.634786","       9.987798","       9.433199","       8.570780","       8.280921","       8.415927","       7.848777","       7.951537","       7.554643","     177.882035"
"TULARE","Non-Residential","    3163.894800","    2974.222154","    3152.066245","    3263.553744","    3267.002018","    3106.120818","    2977.358171","    2582.673513","    2676.488309","    2791.608955","    2760.712692","    2652.248654","    2497.792147","    2274.678009","    2289.953610","    2216.908428","    2524.646320","    2372.978092","   49544.906679"
"TULARE","Residential","    1270.081962","    1282.799116","    1221.377175","    1219.385964","    1223.528153","    1207.791753","    1182.436357","    1162.176496","    1139.392542","    1187.638224","    1161.595705","    1117.295191","    1191.525557","    1085.246048","    1046.763680","    1038.091984","     941.917305","     923.798861","   20602.842073"
"TUOLUMNE","Non-Residential","     242.670927","     243.775128","     238.527767","     235.499722","     234.274231","     240.993867","     233.703300","     225.241857","     212.050287","     222.618567","     203.576637","     210.690330","     503.201774","     261.287533","     222.674649","     205.366731","     218.972553","     217.069701","    4372.195561"
"TUOLUMNE","Residential","     210.375558","     217.079235","     209.324561","     206.545733","     206.145512","     219.803474","     220.364157","     220.505524","     222.835124","     224.344464","     224.550168","     223.038633","     219.301970","     213.696094","     217.969810","     207.063058","     208.122100","     200.317723","    3871.382898"
"VENTURA","Non-Residential","    3619.586174","    3686.503145","    3676.453577","    3782.157683","    3590.478036","    3500.198082","    3606.113603","    3673.447111","    3666.665306","    3735.904606","    4031.100022","    3851.332255","    3926.175420","    3863.548941","    3833.552430","    3647.170067","    3995.800998","    3631.769481","   67317.956937"
"VENTURA","Residential","    1811.072642","    1835.490339","    1785.210931","    1822.525154","    1909.056139","    1903.520128","    1920.689052","    1802.353129","    1790.313630","    1856.569146","    1892.179471","    1841.655365","    1765.764993","    1786.184805","    1744.202656","    1692.796422","    1582.853381","    1533.180703","   32275.618086"
"YOLO","Non-Residential","    1188.533796","    1207.288362","    1197.331724","    1197.794134","    1231.610772","    1194.028649","    1163.681971","    1149.773426","    1105.342535","    1166.032150","    1113.701656","    1132.282024","    1201.822945","    1205.947337","    1053.031939","     947.127910","    1077.010965","     935.803159","   20468.145454"
"YOLO","Residential","     518.927859","     537.954244","     508.110689","     504.997365","     505.718004","     508.238888","     510.870614","     500.228432","     494.710537","     514.856311","     508.267258","     498.576896","     511.971157","     492.597295","     474.012029","     473.559677","     437.449931","     416.834959","    8917.882145"
"YUBA","Non-Residential","     282.018959","     277.207183","     267.674821","     269.201358","     274.548897","     276.876586","     266.013317","     262.526545","     261.500580","     307.045651","     263.270724","     276.528747","     339.480880","     334.840761","     290.965887","     206.742143","     457.177985","     348.966719","    5262.587743"
"YUBA","Residential","     221.872539","     229.260629","     215.090257","     210.034874","     214.855318","     212.555287","     215.763758","     208.767382","     203.722227","     205.290033","     200.068673","     198.678040","     193.682356","     183.287730","     171.593596","     158.208847","     154.460551","     148.301835","    3545.493932"
